trial_id,scenario,method,repeat,uav_id,samples,requested_duration_s,tracking_rmse_m,max_tracking_error_m,arrival_time_s,settling_time_s,overshoot_m,max_actual_velocity_mps,max_actual_acceleration_mps2,final_position_error_m
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,342,12.0,0.13466998974655414,0.5792829394340515,12.592531204223633,nan,0.05925310663167238,1.1343773896845357,7.719967367340797,0.019985589051858686
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,2,342,12.0,0.538690115899769,1.014135718345642,12.896435737609863,nan,0.025193038808449586,1.4130628139602583,7.73712979631637,0.035525965817373696
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,3,342,12.0,0.08293701693385226,0.3826608955860138,12.281765937805176,nan,0.12744174797298768,0.9557655066872037,6.953952896377299,0.024503895446716117
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,4,342,12.0,0.07474917148476291,0.3243279457092285,12.29422664642334,nan,0.10875513176936824,0.9007523044653235,7.793608307222659,0.05527187009357861
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,5,342,12.0,0.6422754066488533,1.171657681465149,12.983607292175293,nan,0.020719085027185002,1.9739413452741637,8.178157604987735,0.033754796358479895
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,6,342,12.0,0.08023220369745691,0.35478442907333374,12.396440505981445,nan,0.11994912970116545,0.9812528358454675,7.544046926411217,0.05317128926663594
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,7,342,12.0,0.5184321378844161,1.0171911716461182,12.884469032287598,nan,0.025340287847786414,1.8686369960253422,7.721230573144291,0.04312014508843861
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,8,342,12.0,0.14143939450629628,0.5858923196792603,12.48354434967041,nan,0.06047354760614354,1.4900933016055677,7.503031942895552,0.04555600682054219
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,1,342,12.0,0.15124694081622284,0.5539439916610718,12.585124969482422,nan,0.06049179841539143,1.7235889114020675,7.425508244588045,0.021229468753157305
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,2,342,12.0,0.529105796361008,0.9870507121086121,13.093565940856934,nan,0.02444807852093689,1.8340014248025127,8.367984303319233,0.011720048152737424
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,3,342,12.0,0.09472428519815665,0.4239300489425659,12.400483131408691,nan,0.12077240547784474,1.0035409928363586,6.859686732578168,0.025656464611565354
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,4,342,12.0,0.10502127551514934,0.3288334906101227,12.293054580688477,nan,0.08199347219644348,0.9355878899593244,7.8535758881403535,0.03690360523426697
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,5,342,12.0,0.644171901509164,1.1656326055526733,13.200249671936035,nan,0.019927475478446866,1.9490182492741146,8.016167355177835,0.009873007571037594
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,6,342,12.0,0.12907345987193838,0.36407655477523804,12.39311695098877,nan,0.08994277600180212,1.1320400799833223,8.722331185457218,0.046383088221927715
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,7,342,12.0,0.5130170749833431,0.981804609298706,13.195109367370605,nan,0.024601068864955167,1.6798708153549045,8.018398164968836,0.028161616966570466
eight_uav_line_to_circle__linear_ladrc__r02,eight_uav_line_to_circle,linear_ladrc,2,8,342,12.0,0.18775586301434014,0.6032267808914185,12.691972732543945,nan,0.06588621778168147,1.4149078061982117,7.958363035418148,0.03807266122447374
